table with row headers in column A and column headers in rows 3 through 6  (leading dots indicate sub-parts),,,,,,,,,,,,,,
,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,,Total Population Change1,Natural Increase,Vital Events,,Net Migration,,
,,,Births,Deaths,Total,International2,Domestic,,,Births,Deaths,Total,International2,Domestic
United States,"19,481,418","11,621,558","36,275,313","24,653,755","7,859,860","7,859,860",0,"1,552,022","956,674","3,791,712","2,835,038","595,348","595,348",0
".Autauga County, Alabama","1,272",713,"5,862","5,149",554,9,545,336,83,624,541,254,-16,270
".Baldwin County, Alabama","40,969","1,650","20,641","18,991","38,880","1,343","37,537","5,379",-22,"2,304","2,326","5,377",80,"5,297"
".Barbour County, Alabama","-2,769",-297,"2,594","2,891","-2,484",43,"-2,527",-186,-56,256,312,-128,13,-141
".Bibb County, Alabama",-521,16,"2,355","2,339",-532,120,-652,27,-12,240,252,41,10,31
".Blount County, Alabama",504,506,"6,312","5,806",47,117,-70,55,-6,651,657,65,6,59
".Bullock County, Alabama",-810,56,"1,201","1,145",-874,77,-951,-73,0,109,109,-73,-1,-72
".Butler County, Alabama","-1,492",-284,"2,213","2,497","-1,205",146,"-1,351",-183,-59,213,272,-123,18,-141
".Calhoun County, Alabama","-4,921",-926,"12,345","13,271","-3,943",554,"-4,497",-726,-263,"1,269","1,532",-461,14,-475
".Chambers County, Alabama",-915,-524,"3,611","4,135",-374,168,-542,-346,-87,354,441,-259,6,-265
".Cherokee County, Alabama",217,"-1,026","2,143","3,169","1,263",1,"1,262",182,-121,222,343,303,-3,306
".Chilton County, Alabama",796,507,"5,091","4,584",321,236,85,265,48,551,503,219,35,184
".Choctaw County, Alabama","-1,269",-357,"1,237","1,594",-908,-16,-892,-244,-43,133,176,-201,-2,-199
".Clarke County, Alabama","-2,211",-192,"2,533","2,725","-2,036",-17,"-2,019",-296,-58,266,324,-237,-5,-232
".Clay County, Alabama",-695,-375,"1,297","1,672",-316,-9,-307,-59,-44,143,187,-14,-2,-12
".Cleburne County, Alabama",-62,-61,"1,642","1,703",6,-66,72,-100,-2,187,189,-97,-11,-86
".Coffee County, Alabama","2,387","1,103","5,844","4,741","1,272",824,448,392,29,599,570,368,34,334
".Colbert County, Alabama",813,-840,"5,703","6,543","1,704",433,"1,271",237,-89,630,719,329,73,256
".Conecuh County, Alabama","-1,169",-303,"1,288","1,591",-869,7,-876,-225,-59,123,182,-166,1,-167
".Coosa County, Alabama","-1,093",-394,862,"1,256",-698,75,-773,20,-33,89,122,55,13,42
".Covington County, Alabama",-713,-707,"4,077","4,784",32,-27,59,96,-130,413,543,230,-5,235
".Crenshaw County, Alabama",-121,-240,"1,379","1,619",123,52,71,-53,-42,137,179,-11,3,-14
".Cullman County, Alabama","3,362",-13,"9,120","9,133","3,433",322,"3,111",350,-60,990,"1,050",414,34,380
".Dale County, Alabama","-1,079","1,525","6,137","4,612","-2,604",702,"-3,306",29,102,648,546,-71,18,-89
".Dallas County, Alabama","-6,617",-178,"4,760","4,938","-6,484",6,"-6,490","-1,098",-104,438,542,-997,5,"-1,002"
".DeKalb County, Alabama",393,559,"7,756","7,197",-117,510,-627,106,-24,795,819,134,44,90
".Elmore County, Alabama","1,937","1,666","8,723","7,057",309,389,-80,198,111,932,821,92,25,67
".Escambia County, Alabama","-1,687",-234,"4,108","4,342","-1,439",-2,"-1,437",109,-54,420,474,165,-1,166
".Etowah County, Alabama","-2,161","-1,921","10,979","12,900",-142,273,-415,-343,-312,"1,175","1,487",-25,37,-62
".Fayette County, Alabama",-933,-526,"1,630","2,156",-396,21,-417,-143,-51,174,225,-92,5,-97
".Franklin County, Alabama",-347,398,"3,928","3,530",-736,469,"-1,205",64,65,432,367,1,29,-28
".Geneva County, Alabama",-510,-570,"2,736","3,306",76,-67,143,-35,-87,278,365,55,-7,62
".Greene County, Alabama",-928,-76,941,"1,017",-862,1,-863,-98,3,96,93,-101,0,-101
".Hale County, Alabama","-1,111",147,"1,821","1,674","-1,271",-3,"-1,268",-98,9,190,181,-106,-3,-103
".Henry County, Alabama",-94,-393,"1,627","2,020",311,32,279,32,-46,167,213,78,-1,79
