State Name,County Name,Census 2010,Population Estimate 2019
Alabama,Autauga County,"54,571","55,869"
Alabama,Baldwin County,"182,265","223,234"
Alabama,Barbour County,"27,457","24,686"
Alabama,Bibb County,"22,915","22,394"
Alabama,Blount County,"57,322","57,826"
Alabama,Bullock County,"10,914","10,101"
Alabama,Butler County,"20,947","19,448"
Alabama,Calhoun County,"118,572","113,605"
Alabama,Chambers County,"34,215","33,254"
Alabama,Cherokee County,"25,989","26,196"
Alabama,Chilton County,"43,643","44,428"
Alabama,Choctaw County,"13,859","12,589"
Alabama,Clarke County,"25,833","23,622"
Alabama,Clay County,"13,932","13,235"
Alabama,Cleburne County,"14,972","14,910"
Alabama,Coffee County,"49,948","52,342"
Alabama,Colbert County,"54,428","55,241"
Alabama,Conecuh County,"13,228","12,067"
Alabama,Coosa County,"11,539","10,663"
Alabama,Covington County,"37,765","37,049"
Alabama,Crenshaw County,"13,906","13,772"
Alabama,Cullman County,"80,406","83,768"
Alabama,Dale County,"50,251","49,172"
Alabama,Dallas County,"43,820","37,196"
Alabama,DeKalb County,"71,109","71,513"
Alabama,Elmore County,"79,303","81,209"
Alabama,Escambia County,"38,319","36,633"
Alabama,Etowah County,"104,430","102,268"
Alabama,Fayette County,"17,241","16,302"
Alabama,Franklin County,"31,704","31,362"
Alabama,Geneva County,"26,790","26,271"
Alabama,Greene County,"9,045","8,111"
Alabama,Hale County,"15,760","14,651"
Alabama,Henry County,"17,302","17,205"
Alabama,Houston County,"101,547","105,882"
Alabama,Jackson County,"53,227","51,626"
Alabama,Jefferson County,"658,466","658,573"
Alabama,Lamar County,"14,564","13,805"
Alabama,Lauderdale County,"92,709","92,729"
Alabama,Lawrence County,"34,339","32,924"
Alabama,Lee County,"140,247","164,542"
Alabama,Limestone County,"82,782","98,915"
Alabama,Lowndes County,"11,299","9,726"
Alabama,Macon County,"21,452","18,068"
Alabama,Madison County,"334,811","372,909"
Alabama,Marengo County,"21,027","18,863"
Alabama,Marion County,"30,776","29,709"
Alabama,Marshall County,"93,019","96,774"
Alabama,Mobile County,"412,992","413,210"
Alabama,Monroe County,"23,068","20,733"
Alabama,Montgomery County,"229,363","226,486"
Alabama,Morgan County,"119,490","119,679"
Alabama,Perry County,"10,591","8,923"
Alabama,Pickens County,"19,746","19,930"
Alabama,Pike County,"32,899","33,114"
Alabama,Randolph County,"22,913","22,722"
Alabama,Russell County,"52,947","57,961"
Alabama,Shelby County,"195,085","217,702"
Alabama,St. Clair County,"83,593","89,512"
Alabama,Sumter County,"13,763","12,427"
Alabama,Talladega County,"82,291","79,978"
Alabama,Tallapoosa County,"41,616","40,367"
Alabama,Tuscaloosa County,"194,656","209,355"
Alabama,Walker County,"67,023","63,521"
Alabama,Washington County,"17,581","16,326"
Alabama,Wilcox County,"11,670","10,373"
Alabama,Winston County,"24,484","23,629"
Alaska,Aleutians East County,"3,141","3,337"
Alaska,Aleutians West County,"5,561","5,634"
Alaska,Anchorage County,"291,826","288,000"
Alaska,Bethel County,"17,013","18,386"
Alaska,Bristol Bay County,997,836
Alaska,Denali County,"1,826","2,097"
Alaska,Dillingham County,"4,847","4,916"
Alaska,Fairbanks North Star County,"97,581","96,849"
Alaska,Haines County,"2,508","2,530"
