FIPS,location,census population 2010,estimated population 2019
01001,"Autauga County, Alabama","54,571","55,869"
01003,"Baldwin County, Alabama","182,265","223,234"
01005,"Barbour County, Alabama","27,457","24,686"
01007,"Bibb County, Alabama","22,915","22,394"
01009,"Blount County, Alabama","57,322","57,826"
01011,"Bullock County, Alabama","10,914","10,101"
01013,"Butler County, Alabama","20,947","19,448"
01015,"Calhoun County, Alabama","118,572","113,605"
01017,"Chambers County, Alabama","34,215","33,254"
01019,"Cherokee County, Alabama","25,989","26,196"
01021,"Chilton County, Alabama","43,643","44,428"
01023,"Choctaw County, Alabama","13,859","12,589"
01025,"Clarke County, Alabama","25,833","23,622"
01027,"Clay County, Alabama","13,932","13,235"
01029,"Cleburne County, Alabama","14,972","14,910"
01031,"Coffee County, Alabama","49,948","52,342"
01033,"Colbert County, Alabama","54,428","55,241"
01035,"Conecuh County, Alabama","13,228","12,067"
01037,"Coosa County, Alabama","11,539","10,663"
01039,"Covington County, Alabama","37,765","37,049"
01041,"Crenshaw County, Alabama","13,906","13,772"
01043,"Cullman County, Alabama","80,406","83,768"
01045,"Dale County, Alabama","50,251","49,172"
01047,"Dallas County, Alabama","43,820","37,196"
01049,"DeKalb County, Alabama","71,109","71,513"
01051,"Elmore County, Alabama","79,303","81,209"
01053,"Escambia County, Alabama","38,319","36,633"
01055,"Etowah County, Alabama","104,430","102,268"
01057,"Fayette County, Alabama","17,241","16,302"
01059,"Franklin County, Alabama","31,704","31,362"
01061,"Geneva County, Alabama","26,790","26,271"
01063,"Greene County, Alabama","9,045","8,111"
01065,"Hale County, Alabama","15,760","14,651"
01067,"Henry County, Alabama","17,302","17,205"
01069,"Houston County, Alabama","101,547","105,882"
01071,"Jackson County, Alabama","53,227","51,626"
01073,"Jefferson County, Alabama","658,466","658,573"
01075,"Lamar County, Alabama","14,564","13,805"
01077,"Lauderdale County, Alabama","92,709","92,729"
01079,"Lawrence County, Alabama","34,339","32,924"
01081,"Lee County, Alabama","140,247","164,542"
01083,"Limestone County, Alabama","82,782","98,915"
01085,"Lowndes County, Alabama","11,299","9,726"
01087,"Macon County, Alabama","21,452","18,068"
01089,"Madison County, Alabama","334,811","372,909"
01091,"Marengo County, Alabama","21,027","18,863"
01093,"Marion County, Alabama","30,776","29,709"
01095,"Marshall County, Alabama","93,019","96,774"
01097,"Mobile County, Alabama","412,992","413,210"
01099,"Monroe County, Alabama","23,068","20,733"
01101,"Montgomery County, Alabama","229,363","226,486"
01103,"Morgan County, Alabama","119,490","119,679"
01105,"Perry County, Alabama","10,591","8,923"
01107,"Pickens County, Alabama","19,746","19,930"
01109,"Pike County, Alabama","32,899","33,114"
01111,"Randolph County, Alabama","22,913","22,722"
01113,"Russell County, Alabama","52,947","57,961"
01117,"Shelby County, Alabama","195,085","217,702"
01115,"St. Clair County, Alabama","83,593","89,512"
01119,"Sumter County, Alabama","13,763","12,427"
01121,"Talladega County, Alabama","82,291","79,978"
01123,"Tallapoosa County, Alabama","41,616","40,367"
01125,"Tuscaloosa County, Alabama","194,656","209,355"
01127,"Walker County, Alabama","67,023","63,521"
01129,"Washington County, Alabama","17,581","16,326"
01131,"Wilcox County, Alabama","11,670","10,373"
01133,"Winston County, Alabama","24,484","23,629"
02013,"Aleutians East County, Alaska","3,141","3,337"
02016,"Aleutians West County, Alaska","5,561","5,634"
02020,"Anchorage County, Alaska","291,826","288,000"
02050,"Bethel County, Alaska","17,013","18,386"
02060,"Bristol Bay County, Alaska",997,836
02068,"Denali County, Alaska","1,826","2,097"
02070,"Dillingham County, Alaska","4,847","4,916"
02090,"Fairbanks North Star County, Alaska","97,581","96,849"
02100,"Haines County, Alaska","2,508","2,530"
02105,"Hoonah-Angoon County, Alaska","2,150","2,148"
02110,"Juneau County, Alaska","31,275","31,974"
02122,"Kenai Peninsula County, Alaska","55,400","58,708"
02130,"Ketchikan Gateway County, Alaska","13,477","13,901"
02150,"Kodiak Island County, Alaska","13,592","12,998"
02158,"Kusilvak County, Alaska","7,459","8,314"
02164,"Lake and Peninsula County, Alaska","1,631","1,592"
02170,"Matanuska-Susitna County, Alaska","88,995","108,317"
02180,"Nome County, Alaska","9,492","10,004"
02185,"North Slope County, Alaska","9,430","9,832"
02188,"Northwest Arctic County, Alaska","7,523","7,621"
02195,"Petersburg County, Alaska","3,815","3,266"
02198,"Prince of Wales-Hyder County, Alaska","5,559","6,203"
02220,"Sitka County, Alaska","8,881","8,493"
02230,"Skagway County, Alaska",968,"1,183"
02240,"Southeast Fairbanks County, Alaska","7,029","6,893"
02261,"Valdez-Cordova County, Alaska","9,636","9,202"
02275,"Wrangell County, Alaska","2,369","2,502"
02282,"Yakutat County, Alaska",662,579
02290,"Yukon-Koyukuk County, Alaska","5,588","5,230"
04001,"Apache County, Arizona","71,518","71,887"
04003,"Cochise County, Arizona","131,346","125,922"
04005,"Coconino County, Arizona","134,421","143,476"
04007,"Gila County, Arizona","53,597","54,018"
04009,"Graham County, Arizona","37,220","38,837"
04011,"Greenlee County, Arizona","8,437","9,498"
04012,"La Paz County, Arizona","20,489","21,108"
04013,"Maricopa County, Arizona","3,817,117","4,485,414"
04015,"Mohave County, Arizona","200,186","212,181"
04017,"Navajo County, Arizona","107,449","110,924"
04019,"Pima County, Arizona","980,263","1,047,279"
04021,"Pinal County, Arizona","375,770","462,789"
04023,"Santa Cruz County, Arizona","47,420","46,498"
04025,"Yavapai County, Arizona","211,033","235,099"
04027,"Yuma County, Arizona","195,751","213,787"
05001,"Arkansas County, Arkansas","19,019","17,486"
05003,"Ashley County, Arkansas","21,853","19,657"
05005,"Baxter County, Arkansas","41,513","41,932"
05007,"Benton County, Arkansas","221,339","279,141"
05009,"Boone County, Arkansas","36,903","37,432"
05011,"Bradley County, Arkansas","11,508","10,763"
05013,"Calhoun County, Arkansas","5,368","5,189"
05015,"Carroll County, Arkansas","27,446","28,380"
05017,"Chicot County, Arkansas","11,800","10,118"
05019,"Clark County, Arkansas","22,995","22,320"
05021,"Clay County, Arkansas","16,083","14,551"
05023,"Cleburne County, Arkansas","25,970","24,919"
05025,"Cleveland County, Arkansas","8,689","7,956"
05027,"Columbia County, Arkansas","24,552","23,457"
05029,"Conway County, Arkansas","21,273","20,846"
05031,"Craighead County, Arkansas","96,443","110,332"
05033,"Crawford County, Arkansas","61,948","63,257"
05035,"Crittenden County, Arkansas","50,902","47,955"
05037,"Cross County, Arkansas","17,870","16,419"
05039,"Dallas County, Arkansas","8,116","7,009"
05041,"Desha County, Arkansas","13,008","11,361"
05043,"Drew County, Arkansas","18,509","18,219"
05045,"Faulkner County, Arkansas","113,237","126,007"
05047,"Franklin County, Arkansas","18,125","17,715"
05049,"Fulton County, Arkansas","12,245","12,477"
05051,"Garland County, Arkansas","96,024","99,386"
05053,"Grant County, Arkansas","17,853","18,265"
05055,"Greene County, Arkansas","42,090","45,325"
05057,"Hempstead County, Arkansas","22,609","21,532"
05059,"Hot Spring County, Arkansas","32,923","33,771"
05061,"Howard County, Arkansas","13,789","13,202"
05063,"Independence County, Arkansas","36,647","37,825"
05065,"Izard County, Arkansas","13,696","13,629"
05067,"Jackson County, Arkansas","17,997","16,719"
05069,"Jefferson County, Arkansas","77,435","66,824"
05071,"Johnson County, Arkansas","25,540","26,578"
05073,"Lafayette County, Arkansas","7,645","6,624"
05075,"Lawrence County, Arkansas","17,415","16,406"
05077,"Lee County, Arkansas","10,424","8,857"
05079,"Lincoln County, Arkansas","14,134","13,024"
05081,"Little River County, Arkansas","13,171","12,259"
05083,"Logan County, Arkansas","22,353","21,466"
05085,"Lonoke County, Arkansas","68,356","73,309"
05087,"Madison County, Arkansas","15,717","16,576"
05089,"Marion County, Arkansas","16,653","16,694"
05091,"Miller County, Arkansas","43,462","43,257"
05093,"Mississippi County, Arkansas","46,480","40,651"
05095,"Monroe County, Arkansas","8,149","6,701"
05097,"Montgomery County, Arkansas","9,487","8,986"
05099,"Nevada County, Arkansas","8,997","8,252"
05101,"Newton County, Arkansas","8,330","7,753"
05103,"Ouachita County, Arkansas","26,120","23,382"
05105,"Perry County, Arkansas","10,445","10,455"
05107,"Phillips County, Arkansas","21,757","17,782"
05109,"Pike County, Arkansas","11,291","10,718"
05111,"Poinsett County, Arkansas","24,583","23,528"
05113,"Polk County, Arkansas","20,662","19,964"
05115,"Pope County, Arkansas","61,754","64,072"
05117,"Prairie County, Arkansas","8,715","8,062"
05119,"Pulaski County, Arkansas","382,748","391,911"
05121,"Randolph County, Arkansas","17,969","17,958"
05125,"Saline County, Arkansas","107,118","122,437"
05127,"Scott County, Arkansas","11,233","10,281"
05129,"Searcy County, Arkansas","8,195","7,881"
05131,"Sebastian County, Arkansas","125,744","127,827"
05133,"Sevier County, Arkansas","17,058","17,007"
05135,"Sharp County, Arkansas","17,264","17,442"
05123,"St. Francis County, Arkansas","28,258","24,994"
05137,"Stone County, Arkansas","12,394","12,506"
05139,"Union County, Arkansas","41,639","38,682"
05141,"Van Buren County, Arkansas","17,295","16,545"
05143,"Washington County, Arkansas","203,065","239,187"
05145,"White County, Arkansas","77,076","78,753"
05147,"Woodruff County, Arkansas","7,260","6,320"
05149,"Yell County, Arkansas","22,185","21,341"
06001,"Alameda County, California","1,510,271","1,671,329"
06003,"Alpine County, California","1,175","1,129"
06005,"Amador County, California","38,091","39,752"
06007,"Butte County, California","220,000","219,186"
